,date,open,high,low,close,volume,average,barCount
983495,2019-11-01 15:46:00,311.735,312.665,311.665,312.645,-1,-1.0,-1
983496,2019-11-01 15:47:00,312.645,312.94,312.645,312.92,-1,-1.0,-1
983497,2019-11-01 15:48:00,312.92,312.95,312.635,312.925,-1,-1.0,-1
983498,2019-11-01 15:49:00,312.925,313.245,312.92,313.135,-1,-1.0,-1
983499,2019-11-01 15:50:00,313.135,313.14,312.585,312.615,-1,-1.0,-1
983500,2019-11-01 15:51:00,312.615,312.695,312.2,312.41,-1,-1.0,-1
983501,2019-11-01 15:52:00,312.41,312.41,311.645,311.7,-1,-1.0,-1
983502,2019-11-01 15:53:00,311.7,311.715,311.545,311.7,-1,-1.0,-1
983503,2019-11-01 15:54:00,311.7,311.92,311.65,311.86,-1,-1.0,-1
983504,2019-11-01 15:55:00,311.86,311.915,311.645,311.785,-1,-1.0,-1
983505,2019-11-01 15:56:00,311.785,311.91,311.595,311.6,-1,-1.0,-1
983506,2019-11-01 15:57:00,311.6,311.605,310.975,311.065,-1,-1.0,-1
983507,2019-11-01 15:58:00,311.065,311.41,311.035,311.16,-1,-1.0,-1
983508,2019-11-01 15:59:00,311.16,311.275,311.115,311.25,-1,-1.0,-1
983509,2019-11-01 16:00:00,311.25,311.42,311.195,311.365,-1,-1.0,-1
983510,2019-11-01 16:01:00,311.365,311.52,311.145,311.21,-1,-1.0,-1
983511,2019-11-01 16:02:00,311.21,311.215,310.9,311.105,-1,-1.0,-1
983512,2019-11-01 16:03:00,311.105,311.19,311.045,311.135,-1,-1.0,-1
983513,2019-11-01 16:04:00,311.135,311.165,310.96,311.155,-1,-1.0,-1
983514,2019-11-01 16:05:00,311.155,311.755,311.135,311.675,-1,-1.0,-1
983515,2019-11-01 16:06:00,311.675,312.215,311.61,312.125,-1,-1.0,-1
983516,2019-11-01 16:07:00,312.125,312.19,311.99,311.995,-1,-1.0,-1
983517,2019-11-01 16:08:00,311.995,311.995,311.555,311.585,-1,-1.0,-1
983518,2019-11-01 16:09:00,311.585,311.825,311.585,311.815,-1,-1.0,-1
983519,2019-11-01 16:10:00,311.815,311.89,311.665,311.685,-1,-1.0,-1
983520,2019-11-01 16:11:00,311.685,311.815,311.54,311.545,-1,-1.0,-1
983521,2019-11-01 16:12:00,311.545,311.545,311.095,311.14,-1,-1.0,-1
983522,2019-11-01 16:13:00,311.14,311.145,310.835,310.925,-1,-1.0,-1
983523,2019-11-01 16:14:00,310.925,311.15,310.845,311.15,-1,-1.0,-1
983524,2019-11-01 16:15:00,311.15,311.17,311.06,311.08,-1,-1.0,-1
983525,2019-11-01 16:16:00,311.08,311.625,311.08,311.55,-1,-1.0,-1
983526,2019-11-01 16:17:00,311.55,311.595,311.225,311.24,-1,-1.0,-1
983527,2019-11-01 16:18:00,311.24,311.405,311.24,311.405,-1,-1.0,-1
983528,2019-11-01 16:19:00,311.405,311.515,311.33,311.345,-1,-1.0,-1
983529,2019-11-01 16:20:00,311.345,311.445,311.09,311.37,-1,-1.0,-1
983530,2019-11-01 16:21:00,311.37,311.4,311.27,311.375,-1,-1.0,-1
983531,2019-11-01 16:22:00,311.375,311.375,311.02,311.11,-1,-1.0,-1
983532,2019-11-01 16:23:00,311.11,311.62,311.105,311.62,-1,-1.0,-1
983533,2019-11-01 16:24:00,311.62,311.975,311.62,311.925,-1,-1.0,-1
983534,2019-11-01 16:25:00,311.925,312.21,311.925,312.205,-1,-1.0,-1
983535,2019-11-01 16:26:00,312.205,312.49,312.195,312.365,-1,-1.0,-1
983536,2019-11-01 16:27:00,312.365,312.37,311.975,311.98,-1,-1.0,-1
983537,2019-11-01 16:28:00,311.98,312.26,311.895,312.065,-1,-1.0,-1
983538,2019-11-01 16:29:00,312.065,312.205,311.975,312.155,-1,-1.0,-1
983539,2019-11-01 16:30:00,312.155,312.17,312.035,312.07,-1,-1.0,-1
983540,2019-11-01 16:31:00,312.07,312.07,311.845,311.865,-1,-1.0,-1
983541,2019-11-01 16:32:00,311.865,312.17,311.855,312.04,-1,-1.0,-1
983542,2019-11-01 16:33:00,312.04,312.13,311.95,311.95,-1,-1.0,-1
